1478 lucas 20 0 1303960 95280 79116 S 8,0 1,2 0:10.56 konsole
1200 lucas 20 0 3832716 176920 122856 S 4,0 2,2 6:12.35 kwin_x11
891 root 20 0 1205460 139768 71800 S 3,7 1,7 0:37.52 Xorg
1237 lucas 20 0 2383004 355084 144720 S 0,7 4,4 0:22.93 plasmashell
1209 lucas 20 0 543404 32152 28812 S 0,3 0,4 0:00.19 kactivitymanage
1242 lucas 20 0 356460 45448 40292 S 0,3 0,6 0:00.46 kdeconnectd
1502 lucas 20 0 12884 4028 3224 R 0,3 0,0 0:06.70 top
1960 root 20 0 0 0 0 I 0,3 0,0 0:00.97 kworker/3:0-events
1 root 20 0 168716 11732 8616 S 0,0 0,1 0:02.37 systemd
2 root 20 0 0 0 0 S 0,0 0,0 0:00.00 kthreadd
3 root 0 -20 0 0 0 I 0,0 0,0 0:00.00 rcu_gp
4 root 0 -20 0 0 0 I 0,0 0,0 0:00.00 rcu_par_gp
6 root 0 -20 0 0 0 I 0,0 0,0 0:00.00 kworker/0:0H-kblockd
9 root 0 -20 0 0 0 I 0,0 0,0 0:00.00 mm_percpu_wq
10 root 20 0 0 0 0 S 0,0 0,0 0:00.03 ksoftirqd/0
11 root 20 0 0 0 0 I 0,0 0,0 0:00.56 rcu_sched
12 root rt 0 0 0 0 S 0,0 0,0 0:00.03 migration/0
13 root -51 0 0 0 0 S 0,0 0,0 0:00.00 idle_inject/0
14 root 20 0 0 0 0 S 0,0 0,0 0:00.00 cpuhp/0
15 root 20 0 0 0 0 S 0,0 0,0 0:00.00 cpuhp/1
16 root -51 0 0 0 0 S 0,0 0,0 0:00.00 idle_inject/1
17 root rt 0 0 0 0 S 0,0 0,0 0:00.69 migration/1
18 root 20 0 0 0 0 S 0,0 0,0 0:00.01 ksoftirqd/1
20 root 0 -20 0 0 0 I 0,0 0,0 0:00.00 kworker/1:0H-kblockd
21 root 20 0 0 0 0 S 0,0 0,0 0:00.00 cpuhp/2
22 root -51 0 0 0 0 S 0,0 0,0 0:00.00 idle_inject/2
23 root rt 0 0 0 0 S 0,0 0,0 0:00.68 migration/2
24 root 20 0 0 0 0 S 0,0 0,0 0:00.01 ksoftirqd/2
26 root 0 -20 0 0 0 I 0,0 0,0 0:00.00 kworker/2:0H-kblockd
27 root 20 0 0 0 0 S 0,0 0,0 0:00.00 cpuhp/3
28 root -51 0 0 0 0 S 0,0 0,0 0:00.00 idle_inject/3
29 root rt 0 0 0 0 S 0,0 0,0 0:00.68 migration/3
30 root 20 0 0 0 0 S 0,0 0,0 0:00.01 ksoftirqd/3
32 root 0 -20 0 0 0 I 0,0 0,0 0:00.00 kworker/3:0H-kblockd
33 root 20 0 0 0 0 S 0,0 0,0 0:00.00 kdevtmpfs
34 root 0 -20 0 0 0 I 0,0 0,0 0:00.00 netns
35 root 20 0 0 0 0 S 0,0 0,0 0:00.00 rcu_tasks_kthre
36 root 20 0 0 0 0 S 0,0 0,0 0:00.00 rcu_tasks_rude_
37 root 20 0 0 0 0 S 0,0 0,0 0:00.00 rcu_tasks_trace
38 root 20 0 0 0 0 S 0,0 0,0 0:00.00 kauditd
39 root 20 0 0 0 0 S 0,0 0,0 0:00.00 khungtaskd
40 root 20 0 0 0 0 S 0,0 0,0 0:00.00 oom_reaper
41 root 0 -20 0 0 0 I 0,0 0,0 0:00.00 writeback
